stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,['Betreuungskraft / Alltagsbegleiter/in'],2024,Betreuungskraft / Alltagsbegleiter/in
ARBEIT,"['Kaufmann/-frau - Groß- und Außenhandel (Außenhandel)', 'Industriekaufmann/-frau']",2024,Kaufmann/-frau - Groß- und Außenhandel (Außenhandel)
ARBEIT,"['Berufskraftfahrer/in', 'Helfer/in - Lagerwirtschaft, Transport']",2025,Servicekraft - Gastronomie und Gastgewerbe
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2025,Helfer/in - Küche
ARBEIT,"['Saunameister/in', 'Rettungsschwimmer/in', 'Helfer/in - Ver- und Entsorgung']",2025,Saunameister/in
ARBEIT,['Helfer/in - Altenpflege/Persönliche Assistenz'],,
ARBEIT,"['Platzwart/in', 'Hausmeister/in']",2025,Hafenarbeiter/in
ARBEIT,"['Helfer/in - Küche', 'Helfer/in - Verkauf', 'Helfer/in - Lagerwirtschaft, Transport']",2026,Hausmeister/in
ARBEIT,"['Controller/in', 'Kreditsachbearbeiter/in', 'Betriebswirt/in - allgemeine Betriebswirtschaft']",2026,Sachbearbeiter/in - Einkauf
ARBEIT,"['Hausmeister/in', 'Dienstwagenfahrer/in']",2025,Hausmeister/in
ARBEIT,['Industriekaufmann/-frau'],2026,Kaufmännische Fachkraft
ARBEIT,['Helfer/in - Verkauf'],2023,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)
ARBEIT,"['Hausmeister/in', 'Helfer/in - Gartenbau', 'Platzwart/in']",2024,Hausmeister/in
ARBEIT,['Helfer/in - Reinigung'],,
ARBEIT,"['Helfer/in - Gastgewerbe', 'Helfer/in - Reinigung']",2025,Servicekraft - Gastronomie und Gastgewerbe
ARBEIT,"['Helfer/in - Reinigung', 'Helfer/in - Gartenbau', 'Helfer/in - Lagerwirtschaft, Transport']",2024,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Reinigung', 'Helfer/in - Küche', 'Hauswirtschafter/in']",2026,Helfer/in - Tierpflege
ARBEIT,['Fachkraft - Schutz und Sicherheit'],2025,Callcenteragent/in
ARBEIT,"['Industrieelektriker/in - Betriebstechnik', 'Pförtner/in']",,
ARBEIT,"['Gabelstaplerfahrer/in', 'Helfer/in - Verkauf', 'Helfer/in - Lagerwirtschaft, Transport']",,
ARBEIT,['Helfer/in - Reinigung'],2024,Helfer/in - Reinigung
ARBEIT,"['IT-Administrator/in', 'Techniker/in - Informatik (technische Informatik)/Bachelor Professional in Technik']",2025,IT-Administrator/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)', 'Helfer/in - Metallbau']",2014,Kommissionierer/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Küche', 'Helfer/in - Gastgewerbe']",2023,Sozialassistent/in
ARBEIT,['Hausdame/Housekeeper'],2025,Helfer/in - Altenpflege/Persönliche Assistenz
ARBEIT,['Pferdepfleger/in'],2024,Bereiter/in
ARBEIT,['Helfer/in - Lebensmittelherstellung'],2026,Helfer/in - Lebensmittelherstellung
ARBEIT,"['Küchenplaner/in', 'Kaufmännische Fachkraft']",2025,Küchenplaner/in
ARBEIT,"['Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)', 'Botenfahrer/in', 'Helfer/in - Lagerwirtschaft, Transport']",2024,Berufskraftfahrer/in
ARBEIT,"['Helfer/in - Reinigung', 'Helfer/in - Küche']",2025,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Papier, Verpackung', 'Helfer/in - Feinmechanik, Werkzeugbau']",2024,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)
ARBEIT,['Historiker/in'],2025,Heimerzieher/in
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Masseur/in und medizinische/r Bademeister/in', 'Pädagogische/r Assistent/in']",2015,Fachlehrer/in - berufliche/allgemeinbildende Schulen
ARBEIT,['Maler/in und Lackierer/in - Maler/in'],2026,Maler/in und Lackierer/in - Maler/in
ARBEIT,['Industrieelektriker/in - Betriebstechnik'],2026,"Kundendienstmonteur/in, -techniker/in"
ARBEIT,['Helfer/in - Verkauf'],2024,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Helfer/in - Ausbau', 'Ordner/in bei Veranstaltungen']",2025,Hausmeister/in
ARBEIT,"['Büroassistent/in', 'Helfer/in - Büro, Verwaltung']",2023,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Gabelstaplerfahrer/in']",2025,Helfer/in - Ausbau
ARBEIT,"['Hausmeister/in', 'Helfer/in - Gartenbau']",2023,Hausmeister/in
ARBEIT,"['Verkäufer/in', 'Helfer/in - Verkauf', 'Helfer/in - Reinigung']",2024,Helfer/in - Reinigung
ARBEIT,['Schulbegleiter/in'],,Hundefriseur/in
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Holz, Flechtwaren', 'Botenfahrer/in']",,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Tiefbau', 'Helfer/in - Hochbau', 'Helfer/in - Ausbau']",2025,"Helfer/in - Malerei, Lackiererei"
ARBEIT,['Content-Manager/in'],2026,Redakteur/in
ARBEIT,['Industriekaufmann/-frau'],2026,Redakteur/in
ARBEIT,['Büroassistent/in'],2024,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,['Helfer/in - Lebensmittelherstellung'],2026,Helfer/in - Lebensmittelherstellung
ARBEIT,['Assistenzarzt/-ärztin'],,Facharzt/-ärztin - Allgemeinmedizin (Hausarzt/-ärztin)
ARBEIT,"['Bürokaufmann/-frau', 'Empfangskraft']",,"Gruppen-, Teamleiter/in"
ARBEIT,"['Bautischler/in', 'Hausmeister/in']",2026,Beton- und Stahlbetonbauer/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",,
ARBEIT,['Fahrradmonteur/in'],2026,Helfer/in - Lebensmittelherstellung
ARBEIT,"['Maler/in und Lackierer/in - Maler/in', 'Maler/in und Lackierer/in - Gestaltung und Instandhaltung']",2026,Maler/in und Lackierer/in - Gestaltung und Instandhaltung
ARBEIT,"['Leiter/in - Produktion/Fertigung', 'Ingenieur/in - Verfahrenstechnik']",2026,Leiter/in - Produktion/Fertigung
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2026,Fleischzerleger/in
ARBEIT,['Helfer/in - Elektro'],2025,Elektroniker/in - Informations- und Systemtechnik
ARBEIT,"['Helfer/in - Lebensmittelherstellung', 'Helfer/in - Küche']",2025,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,['Helfer/in - Reinigung'],2025,Berufskraftfahrer/in
ARBEIT,['Sekretär/in'],,
ARBEIT,['Verkäufer/in'],,Helfer/in - Gastgewerbe
ARBEIT,"['Helfer/in - Kurier-, Zustell- und Postdienstleistungen']",,
ARBEIT,"['Fotograf/in', 'Datenerfasser/in']",2026,Betriebsleiter/in - Systemgastronomie
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2023,Helfer/in - Ausbau
ARBEIT,"['Helfer/in - Holz, Flechtwaren']",2020,Mediengestalter/in Digital und Print - Gestaltung und Technik
ARBEIT,"['Betriebsleiter/in - kaufmännisch', 'Geschäftsführer/in']",2026,Geschäftsführer/in
ARBEIT,"['Filialleiter/in, Verkaufsstellenleiter/in', 'Einzelhandelskaufmann/-frau']",2026,Helfer/in - Gastgewerbe
ARBEIT,"['Straßenbauer/in', 'Polier/in - Tiefbau']",,Straßenbauer/in
