beruf,titel
Verfahrensmechaniker/in - Glastechnik,Kfz-Mechatroniker/Kfz-Monteur  Fahrzeugglas in  (m/w/d)
Verfahrensmechaniker/in - Glastechnik,Kfz-Mechatroniker/Kfz-Monteur  Fahrzeugglas in  (m/w/d)
Business-Intelligence-Consultant,B2B Senior Business Consultant  | Remote (m/w/d)
Personalentwickler/in,Führungskräfte- & Organisationsentwickler (m/w/d)
Business-Intelligence-Consultant,B2B Senior Business Consultant  | Remote (m/w/d)
Business-Intelligence-Consultant,B2B Senior Business Consultant  | Remote (m/w/d)
Steuerfachangestellte/r,Steuerfachangestellter Lohnbuchhaltung  100% remote (m/w/d)
Fachwirt/in - Controlling,Commercial Controller (m/w/d)
ERP-Anwendungsentwickler/in,Analyst Business Applications - SAP Finance &  (m/w/d)
Geschäftsführer/in - Maschinen- und Betriebshilfering,Geschäftsführer (m/w/d)
Kommunikationselektroniker/in - Informationstechnik,Netzwerk-Spezialist (m/w/d)
Bürokaufmann/-frau,"Kfr./Kfm. im Gesundheitswesen,  (m/w/d)"
Qualitätsbeauftragte/r - Gesundheits-/Sozialwesen,"Qualitätsbeauftragte/r, QMB, QB  in einer  (m/w/d)"
Pflegedienstleiter/in,Pflegedienstleitung - PDL -  ambulante  (m/w/d)
Leiter/in - Altenpflegeeinrichtung,Einrichtungsleitung / Heimleitung einer  (m/w/d)
Gebietsleiter/in - Außenwirtschaft,Speditionskaufmann Import (m/w/d) 
Verkäufer/in,Sales Assistant (m/w/d) in Vollzeit - CECIL und Street One im Outlet Neumünster
Fachlagerist/in,Fachkraft Lagerlogistik (m/w/d)
Wissensmanager/in,Junior IT Change & Knowledge Manager (m/w/d)
Revisor/in,Revisor (m/w/d)
Textilreiniger/in,Mitarbeiter Wäscherei (m/w/d)
Erzieher/in,Erzieher/in (m/w/d) - Elementarbereich
Helfer/in - Lebensmittelherstellung,Produktionshelfer (m/w/d) Direkteinstellung | Schicht
Mechatroniker/in,Mechatroniker (m/w/d) Toranlagen
Maschinen- und Anlagenführer/in (ohne Angabe des Schwerpunkts),Maschinen- und Anlagenführer (m/w/d)
Maschinen- und Anlagenführer/in - Lebensmitteltechnik,Maschinen- und Anlagenführer (m/w/d) Schicht
Immobilienkaufmann/-frau,Mitarbeiter (m/w/d) für die Immobilienverwaltung in Voll- oder Teilzeit
Elektroniker/in - Automatisierungstechnik,Elektroniker (m/w/d) Schichtarbeit | Mechatroniker
Elektroinstallateur/in,Elektriker (m/w/d)
Leiter/in - Controlling,Fachliche Leitung (m/w/d) Controlling
Koch/Köchin,Koch (m/w/d)
Softwareentwickler/in,Software Developer (m/w/d) SAP ABAP/Fiori
Personaldienstleistungskaufmann/-frau,"Mitarbeiter für das Recruiting, zunächst befristet auf 3 Monate"
Erzieher/in,Pädagogische Fachkraft für Offene Ganztagsschule in Vollzeit
Sozialpädagogische/r Assistent/in / Kinderpfleger/in,Sozialpädagogische/r Assistent/in für Offene Ganztagsschule in Teilzeit (30 Std.)
Betreuungskraft / Alltagsbegleiter/in,Allgemeine Betreuungskraft (m/w/d)
Einzelhandelskaufmann/-frau,Verkäufer/in - Einrichtungsberater/in in Teilzeit 15-20 Std/Woche
Hotelfachmann/-frau,Servicemitarbeiter (m/w/d) für die Vitalbar
Hauswirtschafter/in - Personenbetreuende Dienstleistungen,Haushaltshilfe (m/w/d) für Seniorenhaushalte - Minijob / perspektivisch Teilzeit
Notfallsanitäter/in,Mitarbeiter/innen für die Rufbereitschaft Hausnotruf (m/w/d)
Social-Media-Manager/in,Content- und Social Media Manager:in (m/w/d)
Technische/r Redakteur/in,Technischer Redakteur (m/w/d) Teilzeit
Projektassistent/in,Dokumentenmanager (m/w/d) Teilzeit
Projektassistent/in,Kaufmännischer Sachbearbeiter (m/w/d) Teilzeit
Kaufmännische Fachkraft,Sachbearbeiter Dokumentation (m/w/d) Teilzeit
Kaufmännische Fachkraft,Sachbearbeiter Dokumentenmanagement (m/w/d) Teilzeit
Lager- und Transportarbeiter/in,Hochregalstaplerfahrer m/w/d
Technische/r Zeichner/in - Maschinen- und Anlagentechnik,Technischer Zeichner m/w/d
"Helfer/in - Papier, Verpackung",Maschinenbediener m/w/d
Textil- und Modenäher/in,Industrienäher m/w/d
Hausmeister/in,Haustechniker (m/w/d)
Bürogehilf(e/in),Bürohilfe (m/w/d)
Maschinen- und Anlagenführer/in - Druckweiter- und Papierverarbeitung,Maschinen- und Anlagenführer  (m/w/d)
