date,france_no2_mean
2023-08-18,11.805969305886098
2023-08-19,12.073309524622541
2023-08-20,9.909197921094684
2023-08-21,12.944825820004034
2023-08-22,15.329902334885265
2023-08-23,15.810940691805385
2023-08-24,16.837454483603953
2023-08-25,17.807775711830317
2023-08-26,16.260418710696232
2023-08-27,12.945241503372436
2023-08-28,11.480133369581612
2023-08-29,10.891883739336626
2023-08-30,-1.0755111575775407
2023-08-31,13.839895378361899
2023-09-01,14.081522678676505
2023-09-02,14.457427966299072
2023-09-03,13.307457194728888
2023-09-04,-15.666868985038551
2023-09-05,12.319527019118011
2023-09-06,14.685048255339218
2023-09-07,15.405632266044176
2023-09-08,16.42807060937971
2023-09-09,16.570885440318246
2023-09-10,14.514259200350196
2023-09-11,20.337594893143997
2023-09-12,19.031127652720965
2023-09-13,18.57438645628444
2023-09-14,16.075908457404925
2023-09-15,15.7600907021703
2023-09-16,15.44461747479861
2023-09-17,13.735562967935548
2023-09-18,18.328327563613215
2023-09-19,15.825314436250213
2023-09-20,19.39055223626521
2023-09-21,16.085872939044116
2023-09-22,15.71449091452122
2023-09-23,12.566032422335542
2023-09-24,10.491964619980424
2023-09-25,14.44654200309049
2023-09-26,16.126198978634136
2023-09-27,17.637409091650408
2023-09-28,19.791472737530075
2023-09-29,20.90530807917456
2023-09-30,20.15322174661888
2023-10-01,16.600699849806716
2023-10-02,21.788633350231084
2023-10-03,21.25686604211832
2023-10-04,19.201438540290916
2023-10-05,16.11824194888307
2023-10-06,18.43323982709239
2023-10-07,18.88838074427511
2023-10-08,17.223891090044287
2023-10-09,20.300035040292812
2023-10-10,21.36520928315774
2023-10-11,20.555302117696957
2023-10-12,20.85004803560919
2023-10-13,20.638817593913355
2023-10-14,17.021395605825113
2023-10-15,12.606430014055762
2023-10-16,15.248856930441269
2023-10-17,16.551402159164837
2023-10-18,19.099460681655582
2023-10-19,17.22086307127801
2023-10-20,15.946731382135157
2023-10-21,-0.2569548159003742
2023-10-22,11.459135194565544
2023-10-23,0.9480209029317125
2023-10-24,15.038028100399659
2023-10-25,15.664237389797563
2023-10-26,17.373718125147203
2023-10-27,13.525847688390522
2023-10-28,17.026282674791602
2023-10-29,15.028262162637578
2023-10-30,16.063082848718818
2023-10-31,16.061939103915076
2023-11-01,15.484431983022404
2023-11-02,14.691393569528625
2023-11-03,13.954185266023556
2023-11-04,14.464364532413033
2023-11-05,10.5868135939088
2023-11-06,4.042486883662758
2023-11-07,-9.050231916313294
2023-11-08,11.09760813839287
2023-11-09,21.74478067068877
2023-11-10,4.65550327292409
2023-11-11,19.768433218039693
2023-11-12,16.972219818367083
2023-11-13,20.973670486503824
2023-11-14,21.970056618914413
2023-11-15,21.585642529837987
2023-11-16,23.23609980344982
2023-11-17,19.7887101341774
2023-11-18,23.868689870589265
2023-11-19,22.6881347127495
2023-11-20,25.184863438373657
2023-11-21,21.971992034754255
2023-11-22,17.770352767843598
2023-11-23,20.375400165762876
2023-11-24,25.846980302100466
2023-11-25,15.874039876675207
2023-11-26,21.00692019777823
2023-11-27,26.981410350820298
2023-11-28,25.682694342501534
2023-11-29,28.018291194947086
2023-11-30,22.90449936127176
2023-12-01,20.71815061975835
2023-12-02,13.522038673107186
2023-12-03,14.819724978116655
2023-12-04,26.144035487480764
2023-12-05,24.760708603288577
2023-12-06,24.119473274628593
2023-12-07,26.492557708730004
2023-12-08,23.701341335957043
2023-12-09,24.21341561391235
2023-12-10,9.242375383618272
2023-12-11,18.657591204541138
2023-12-12,4.2841145092067885
2023-12-13,20.828950065624817
2023-12-14,23.397278428515175
2023-12-15,21.066997614634875
2023-12-16,17.930067760923293
2023-12-17,20.369265132129087
2023-12-18,31.906236034946915
2023-12-19,35.668387104703996
2023-12-20,34.10241744364937
2023-12-21,31.528474436246576
2023-12-22,27.240463492340393
2023-12-23,22.958957885795513
2023-12-24,21.96541017683148
2023-12-25,19.525108935927726
2023-12-26,20.885382634355945
2023-12-27,25.392261189471096
2023-12-28,27.309095760592484
2023-12-29,28.63160584688814
2023-12-30,26.782520229720834
2023-12-31,19.949925816980898
2024-01-01,16.040378926252927
2024-01-02,20.521366918464807
2024-01-03,21.61646201697832
2024-01-04,25.43443754592383
2024-01-05,21.926556942495452
2024-01-06,15.437221898062703
2024-01-07,15.117333145030406
2024-01-08,18.343188272113863
2024-01-09,18.10632491409079
2024-01-10,19.249826139225007
2024-01-11,21.66615565070751
2024-01-12,24.685900770486153
2024-01-13,25.455309075378604
2024-01-14,24.052628772358045
2024-01-15,27.017526721141568
2024-01-16,26.51866789126552
2024-01-17,22.671269251343798
2024-01-18,20.63045316488024
2024-01-19,19.55478666046701
2024-01-20,15.46170915789911
2024-01-21,19.700874857225852
2024-01-22,30.00410430155871
2024-01-23,30.196546213633685
2024-01-24,30.640532629441093
2024-01-25,30.638799813347408
2024-01-26,30.102583497336173
2024-01-27,26.208086961228005
2024-01-28,22.38874202369464
2024-01-29,27.315859426319353
2024-01-30,31.891336953821178
2024-01-31,34.27576374802539
2024-02-01,40.97355676326072
2024-02-02,22.95901360318727
2024-02-03,31.405362578927438
2024-02-04,27.082403389452118
2024-02-05,11.5994179679863
2024-02-06,10.510585941316636
2024-02-07,10.283388935613832
