city,population,lat,lon,date,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-06-18,18.9,8.4
Oberhausen,219176,51.493847,6.8478265,2016-06-19,17.5,0.6
Oberhausen,219176,51.493847,6.8478265,2016-06-20,20.5,10.0
Oberhausen,219176,51.493847,6.8478265,2016-06-21,21.2,0.5
Oberhausen,219176,51.493847,6.8478265,2016-06-22,25.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-23,30.3,3.1
Oberhausen,219176,51.493847,6.8478265,2016-06-24,25.2,14.4
Oberhausen,219176,51.493847,6.8478265,2016-06-25,18.8,16.2
Oberhausen,219176,51.493847,6.8478265,2016-06-26,19.3,1.1
Oberhausen,219176,51.493847,6.8478265,2016-06-27,18.4,0.4
Oberhausen,219176,51.493847,6.8478265,2016-06-28,21.3,0.7
Oberhausen,219176,51.493847,6.8478265,2016-06-29,19.8,6.9
Oberhausen,219176,51.493847,6.8478265,2016-06-30,19.7,2.4
Oberhausen,219176,51.493847,6.8478265,2016-07-01,21.5,1.3
Oberhausen,219176,51.493847,6.8478265,2016-07-02,18.3,5.2
Oberhausen,219176,51.493847,6.8478265,2016-07-03,19.0,2.4
Oberhausen,219176,51.493847,6.8478265,2016-07-04,20.2,0.7
Oberhausen,219176,51.493847,6.8478265,2016-07-05,19.8,0.6
Oberhausen,219176,51.493847,6.8478265,2016-07-06,19.1,0.1
Oberhausen,219176,51.493847,6.8478265,2016-07-07,21.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-08,23.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-09,22.7,1.0
Oberhausen,219176,51.493847,6.8478265,2016-07-10,28.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-11,22.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-12,21.9,1.6
Oberhausen,219176,51.493847,6.8478265,2016-07-13,18.7,4.6
Oberhausen,219176,51.493847,6.8478265,2016-07-14,18.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-15,19.1,0.5
Oberhausen,219176,51.493847,6.8478265,2016-07-16,22.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-17,23.4,0.1
Oberhausen,219176,51.493847,6.8478265,2016-07-18,25.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-19,28.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-20,32.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-21,27.8,0.2
Oberhausen,219176,51.493847,6.8478265,2016-07-22,26.4,8.9
Oberhausen,219176,51.493847,6.8478265,2016-07-23,23.3,2.3
Oberhausen,219176,51.493847,6.8478265,2016-07-24,26.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-25,25.1,0.9
Oberhausen,219176,51.493847,6.8478265,2016-07-26,24.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-07-27,23.1,1.3
Oberhausen,219176,51.493847,6.8478265,2016-07-28,22.6,4.4
Oberhausen,219176,51.493847,6.8478265,2016-07-29,22.8,0.6
Oberhausen,219176,51.493847,6.8478265,2016-07-30,22.3,0.3
Oberhausen,219176,51.493847,6.8478265,2016-07-31,20.3,1.9
Oberhausen,219176,51.493847,6.8478265,2016-08-01,21.3,2.2
Oberhausen,219176,51.493847,6.8478265,2016-08-02,17.6,13.8
Oberhausen,219176,51.493847,6.8478265,2016-08-03,18.8,13.3
Oberhausen,219176,51.493847,6.8478265,2016-08-04,21.1,0.2
Oberhausen,219176,51.493847,6.8478265,2016-08-05,21.3,0.7
Oberhausen,219176,51.493847,6.8478265,2016-08-06,20.9,0.5
Oberhausen,219176,51.493847,6.8478265,2016-08-07,24.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-08,20.8,1.0
Oberhausen,219176,51.493847,6.8478265,2016-08-09,18.4,1.0
Oberhausen,219176,51.493847,6.8478265,2016-08-10,16.9,2.4
Oberhausen,219176,51.493847,6.8478265,2016-08-11,15.5,4.8
Oberhausen,219176,51.493847,6.8478265,2016-08-12,22.3,0.6
Oberhausen,219176,51.493847,6.8478265,2016-08-13,23.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-14,21.9,0.1
Oberhausen,219176,51.493847,6.8478265,2016-08-15,21.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-16,22.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-17,23.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-18,24.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-08-19,25.8,3.3
Oberhausen,219176,51.493847,6.8478265,2016-08-20,22.6,0.2
Oberhausen,219176,51.493847,6.8478265,2016-08-21,19.2,2.5
Oberhausen,219176,51.493847,6.8478265,2016-08-22,21.3,5.6
Oberhausen,219176,51.493847,6.8478265,2016-08-23,26.7,0.0
